ticker,name,sector,industry,mcap,revenue,beta,de_ratio,cr_ratio,ebitda,total_debt
ABR,Arbor Realty Trust,Real Estate,REIT - Mortgage,1701488384,545337024,1.308,362.191,2.523,,11108937728
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,12192761856,1796999936,1.361,688.679,0.183,,85347999744
AGX,"Argan, Inc.",Industrials,Engineering & Construction,8542947840,944606016,0.459,1.382,1.592,136988992.0,6387000
AIV,Apartment Investment and Manage,Real Estate,REIT - Residential,603676480,138486000,1.285,157.477,1.52,13206000.0,870668032
AMH,American Homes 4 Rent,Real Estate,REIT - Residential,12745804800,1850233984,0.805,66.32,2.187,952006976.0,5112930816
AMRZ.SW,AMRIZE N,Basic Materials,Building Materials,24600858624,11815000064,,47.857,1.638,2863000064.0,6343000064
AMT,American Tower Corporation (REI,Real Estate,REIT - Specialty,82454233088,10644599808,0.93,434.211,0.397,6907700224.0,44963901440
ARE,Alexandria Real Estate Equities,Real Estate,REIT - Office,8154735616,3016924928,1.343,66.615,1.617,1939510016.0,12761098240
ARI,Apollo Commercial Real Estate F,Real Estate,REIT - Mortgage,1532796672,268360000,1.515,428.04,10.966,,7944802816
ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,2149044480,377436000,1.406,794.369,1.139,,17961099264
AVB,"AvalonBay Communities, Inc.",Real Estate,REIT - Residential,24333199360,3041189120,0.763,80.256,0.406,1846987008.0,9497797632
BLD,TopBuild Corp.,Industrials,Engineering & Construction,13383715840,5409085952,1.79,136.052,1.935,1016305024.0,3151186944
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,9875927040,15190637568,1.636,117.187,1.859,1377708032.0,5100271104
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,3357898752,439948000,1.036,461.662,94.519,,16178449408
BXP,"BXP, Inc.",Real Estate,REIT - Office,10318221312,3153085952,1.047,225.995,0.923,1610951040.0,17367017472
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,44093739008,40549998592,1.348,106.244,1.095,2222000128.0,10227000320
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,37279301632,4264000000,0.964,,0.255,2776000000.0,29565999104
CCS,"Century Communities, Inc.",Real Estate,Real Estate - Development,1848339072,4117816064,1.559,56.131,6.282,235624992.0,1454755968
CPT,Camden Property Trust,Real Estate,REIT - Residential,10772691968,1586766976,0.848,88.402,0.029,899886976.0,3923490048
CRH,CRH PLC,Basic Materials,Building Materials,78186127360,37447000064,1.241,77.341,1.743,7500000256.0,19704999936
CUBE,CubeSmart,Real Estate,REIT - Industrial,9058595840,1125570048,1.134,126.45,0.092,709510016.0,3517945088
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,4149431552,2202736128,1.332,3.816,2.485,251744000.0,41566000
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,2177017088,1003982016,1.137,160.179,0.38,584553984.0,5566114816
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,47673376768,33524299776,1.445,22.872,6.332,4466100224.0,5616200192
DLR,"Digital Realty Trust, Inc.",Real Estate,REIT - Specialty,71870578688,6080705024,1.091,81.655,1.3,2779584000.0,20287967232
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,11537783808,2822512128,1.079,122.183,1.218,1555854976.0,10144153600
DX,"Dynex Capital, Inc.",Real Estate,REIT - Mortgage,2844487168,303961984,0.978,773.888,0.066,,21059577856
DY,"Dycom Industries, Inc.",Industrials,Engineering & Construction,12115657728,5545911808,1.382,160.935,2.738,713433024.0,2992005888
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,1619814016,329387008,0.938,909.661,8.946,,17021159424
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,37174693888,16986422272,1.112,12.913,1.22,1764573056.0,474556992
EQIX,"Equinix, Inc.",Real Estate,REIT - Specialty,108400033792,9260000256,0.998,160.291,1.316,4072000000.0,22726000640
EQR,Equity Residential,Real Estate,REIT - Residential,24158322688,3093958912,0.744,74.323,0.107,1882163968.0,8479584768
ESS,"Essex Property Trust, Inc.",Real Estate,REIT - Residential,17595148288,1935442944,0.725,119.433,0.154,1255431936.0,6851756032
EXP,Eagle Materials Inc,Basic Materials,Building Materials,6606440960,2299727104,1.392,120.567,4.274,731608000.0,1800812032
EXR,Extra Space Storage Inc,Real Estate,REIT - Industrial,31802204160,3446356992,1.274,98.679,0.758,2268752896.0,14134830080
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,59004571648,9101640704,1.598,45.489,1.211,1454573952.0,303920992
FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,9699558400,1280894976,0.992,143.64,0.371,814518976.0,5028306944
GRBK,"Green Brick Partners, Inc.",Consumer Cyclical,Residential Construction,3092686336,2098471040,1.992,17.016,8.7,414553984.0,328912992
HIW,"Highwoods Properties, Inc.",Real Estate,REIT - Office,2679553280,808481024,1.066,149.2,2.378,469462016.0,3634000896
